timestamp,Temp(C),DewPointTemp(C),RelHum(%)
2017-11-07 17:00:00,2.1,-2.6,71.0
2017-11-07 18:00:00,1.5,-2.6,74.0
2017-11-07 19:00:00,1.6,-2.4,75.0
2017-11-07 20:00:00,1.6,-3.4,69.0
2017-11-07 21:00:00,1.5,-3.9,68.0
2017-11-07 22:00:00,1.4,-3.6,70.0
2017-11-07 23:00:00,1.2,-4.2,68.0
2017-11-08 00:00:00,0.9,-4.5,67.0
2017-11-08 01:00:00,0.8,-4.2,69.0
2017-11-08 02:00:00,0.7,-4.7,67.0
2017-11-08 03:00:00,0.5,-5.2,66.0
2017-11-08 04:00:00,0.4,-5.2,66.0
2017-11-08 05:00:00,-0.2,-4.9,70.0
2017-11-08 06:00:00,-0.3,-4.8,72.0
2017-11-08 07:00:00,-0.7,-4.8,74.0
2017-11-08 08:00:00,-0.9,-5.0,74.0
2017-11-08 09:00:00,-0.3,-4.7,72.0
2017-11-08 10:00:00,0.5,-4.8,68.0
2017-11-08 11:00:00,2.5,-3.9,63.0
2017-11-08 12:00:00,3.2,-3.5,61.0
2017-11-08 14:00:00,4.9,-3.5,54.0
2017-11-08 15:00:00,4.8,-3.6,55.0
2017-11-08 16:00:00,4.2,-3.8,56.0
2017-11-08 17:00:00,1.7,-3.5,68.0
2017-11-08 18:00:00,1.3,-2.6,75.0
2017-11-08 19:00:00,0.2,-3.1,78.0
2017-11-08 20:00:00,0.5,-3.0,77.0
2017-11-08 21:00:00,0.4,-3.2,77.0
2017-11-08 22:00:00,-0.9,-3.2,84.0
2017-11-08 23:00:00,-0.8,-3.0,85.0
2017-11-09 00:00:00,-0.4,-4.1,76.0
2017-11-09 01:00:00,-1.2,-4.0,81.0
2017-11-09 02:00:00,-1.1,-3.3,85.0
2017-11-09 03:00:00,-1.8,-3.6,88.0
2017-11-09 04:00:00,-1.6,-3.5,87.0
2017-11-09 05:00:00,-4.2,-5.1,94.0
2017-11-09 06:00:00,-3.5,-4.7,91.0
2017-11-09 07:00:00,-4.0,-5.1,92.0
2017-11-09 08:00:00,-3.0,-4.4,90.0
2017-11-09 09:00:00,1.1,-3.1,74.0
2017-11-09 10:00:00,3.6,-2.8,63.0
2017-11-09 11:00:00,5.3,-3.9,52.0
2017-11-09 12:00:00,6.1,-3.4,51.0
2017-11-09 13:00:00,5.8,-3.3,52.0
2017-11-09 14:00:00,6.5,-2.7,52.0
2017-11-09 15:00:00,5.5,-2.7,55.0
2017-11-09 16:00:00,5.0,0.2,71.0
2017-11-09 17:00:00,3.7,0.1,77.0
2017-11-09 18:00:00,3.5,0.2,79.0
2017-11-09 19:00:00,3.7,0.0,76.0
2017-11-09 20:00:00,2.0,-0.7,82.0
2017-11-09 21:00:00,4.9,1.2,77.0
2017-11-09 22:00:00,5.7,2.3,79.0
2017-11-09 23:00:00,6.3,2.3,75.0
2017-11-10 00:00:00,6.4,2.5,76.0
2017-11-10 01:00:00,6.2,2.5,77.0
2017-11-10 02:00:00,6.2,3.0,80.0
2017-11-10 03:00:00,6.6,3.0,78.0
2017-11-10 04:00:00,6.2,5.7,97.0
2017-11-10 05:00:00,6.5,6.3,98.0
2017-11-10 06:00:00,7.1,6.8,98.0
2017-11-10 07:00:00,7.7,7.5,98.0
2017-11-10 08:00:00,8.4,8.2,98.0
2017-11-10 09:00:00,9.3,8.9,98.0
