"Starting coordinates: [-66.16498947143556, 45.30640634669566]"
"Ending coordinates: [-66.13752365112306, 45.292641220997034]"

PNumber,Lat,Lon,Depth
0,-66.1649894714,45.3064063467,-8.44458007812
1,-66.1649332879,45.3063851288,-8.47993946075
2,-66.1648771043,45.3063639108,-8.50399971008
3,-66.1648209209,45.3063426928,-8.45080661774
4,-66.1647647374,45.3063214747,-8.49604892731
5,-66.164708554,45.3063002567,-8.48400020599
6,-66.1646523707,45.3062790386,-8.4139995575
7,-66.1645961874,45.3062578205,-8.50399971008
8,-66.1645400041,45.3062366024,-8.38482284546
9,-66.1644838209,45.3062153842,-8.40400028229
10,-66.1644276377,45.306194166,-8.43872833252
11,-66.1643714546,45.3061729478,-8.42399978638
12,-66.1643152715,45.3061517295,-8.40080833435
13,-66.1642590884,45.3061305112,-8.39400005341
14,-66.1642029054,45.3061092929,-8.34949207306
15,-66.1641467224,45.3060880746,-8.32254505157
16,-66.1640905395,45.3060668562,-8.28454589844
17,-66.1640343566,45.3060456378,-8.31705093384
18,-66.1639781738,45.3060244194,-8.33290481567
19,-66.163921991,45.306003201,-8.26500034332
20,-66.1638658082,45.3059819825,-8.26500034332
21,-66.1638096255,45.305960764,-8.23985958099
22,-66.1637534428,45.3059395455,-8.21732521057
23,-66.1636972602,45.3059183269,-8.20187854767
24,-66.1636410776,45.3058971083,-8.16499900818
25,-66.163584895,45.3058758897,-8.14569473267
26,-66.1635287125,45.3058546711,-8.14348506927
27,-66.1634725301,45.3058334524,-8.14500045776
28,-66.1634163477,45.3058122337,-8.14300823212
29,-66.1633601653,45.305791015,-8.16499996185
30,-66.1633039829,45.3057697962,-8.12301254272
31,-66.1632478007,45.3057485774,-8.13749790192
32,-66.1631916184,45.3057273586,-8.09094524384
33,-66.1631354362,45.3057061398,-8.04010009766
34,-66.163079254,45.3056849209,-8.04047203064
35,-66.1630230719,45.305663702,-8.02715873718
36,-66.1629668898,45.3056424831,-8.02601242065
37,-66.1629107078,45.3056212642,-8.01253223419
38,-66.1628545258,45.3056000452,-8.00977134705
39,-66.1627983438,45.3055788262,-8.04759025574
40,-66.1627421619,45.3055576072,-8.02753639221
41,-66.1626859801,45.3055363881,-8.10032844543
42,-66.1626297982,45.305515169,-8.06085395813
43,-66.1625736165,45.3054939499,-8.05569553375
44,-66.1625174347,45.3054727308,-8.07756996155
45,-66.162461253,45.3054515116,-8.0361366272
46,-66.1624050714,45.3054302924,-8.03372764587
47,-66.1623488897,45.3054090732,-8.04306221008
48,-66.1622927082,45.3053878539,-7.92910957336
49,-66.1622365266,45.3053666346,-7.97378063202
50,-66.1621803452,45.3053454153,-7.99755573273
51,-66.1621241637,45.305324196,-8.00557041168
52,-66.1620679823,45.3053029766,-8.00061416626
53,-66.162011801,45.3052817572,-7.99728012085
54,-66.1619556196,45.3052605378,-7.97752857208
55,-66.1618994384,45.3052393183,-7.91526603699
56,-66.1618432571,45.3052180989,-7.95839166641
