Cruise: 2003_MVP_Gorge_Kennebecasis
Station: June3Gorge_027
Longitude: -66.121174
Latitude: 45.285768
Timestamp: 2003-06-03 13:39:35-03:00
BottomDepth:0.0

Depth,Temperature,Salinity,SoundSpeed
0.69,12.752,1.735,1459.96
0.79,12.752,1.734,1459.96
0.69,12.751,1.733,1459.95
0.69,12.751,1.734,1459.95
0.69,12.751,1.733,1459.95
0.69,12.751,1.735,1459.95
0.69,12.751,1.733,1459.95
0.69,12.752,1.734,1459.96
0.69,12.751,1.735,1459.95
0.69,12.751,1.734,1459.95
0.69,12.751,1.732,1459.95
0.79,12.751,1.733,1459.95
0.69,12.751,1.735,1459.95
0.79,12.751,1.736,1459.96
0.69,12.751,1.735,1459.95
0.79,12.752,1.735,1459.96
0.79,12.751,1.735,1459.96
0.89,12.751,1.734,1459.96
0.89,12.75,1.733,1459.95
0.99,12.751,1.734,1459.96
0.99,12.751,1.734,1459.96
0.99,12.751,1.736,1459.96
0.99,12.751,1.736,1459.96
0.99,12.752,1.733,1459.96
0.99,12.751,1.736,1459.96
0.99,12.752,1.733,1459.96
1.09,12.751,1.733,1459.96
1.09,12.751,1.736,1459.96
1.09,12.752,1.733,1459.96
1.09,12.751,1.734,1459.96
1.19,12.75,1.734,1459.96
1.19,12.752,1.733,1459.96
1.19,12.751,1.734,1459.96
1.29,12.751,1.733,1459.96
1.29,12.751,1.733,1459.96
1.29,12.749,1.733,1459.95
1.39,12.75,1.734,1459.96
1.39,12.751,1.731,1459.96
1.39,12.749,1.733,1459.96
1.49,12.751,1.731,1459.96
1.49,12.75,1.732,1459.96
1.59,12.749,1.731,1459.96
1.59,12.751,1.733,1459.97
1.59,12.749,1.733,1459.96
1.69,12.749,1.733,1459.96
1.79,12.748,1.731,1459.96
1.79,12.749,1.732,1459.96
1.88,12.747,1.731,1459.96
1.88,12.749,1.731,1459.96
1.98,12.747,1.731,1459.96
1.98,12.747,1.729,1459.95
2.08,12.748,1.732,1459.96
2.18,12.747,1.731,1459.96
2.18,12.746,1.728,1459.95
2.28,12.747,1.728,1459.96
2.38,12.745,1.73,1459.95
2.38,12.747,1.731,1459.96
2.48,12.746,1.728,1459.96
2.58,12.745,1.73,1459.96
2.58,12.746,1.732,1459.96
2.68,12.746,1.731,1459.96
2.78,12.745,1.737,1459.97
2.78,12.745,1.738,1459.97
2.88,12.744,1.737,1459.97
2.98,12.744,1.736,1459.97
3.07,12.743,1.732,1459.96
3.07,12.743,1.735,1459.96
3.17,12.742,1.738,1459.97
3.27,12.741,1.74,1459.97
3.27,12.74,1.744,1459.97
3.37,12.738,1.742,1459.96
3.47,12.738,1.744,1459.96
3.57,12.736,1.746,1459.96
3.57,12.734,1.742,1459.95
3.67,12.734,1.738,1459.94
3.77,12.732,1.739,1459.94
3.87,12.731,1.736,1459.93
3.87,12.731,1.738,1459.94
3.97,12.731,1.738,1459.94
4.07,12.731,1.739,1459.94
4.07,12.731,1.737,1459.94
4.17,12.73,1.741,1459.94
4.27,12.731,1.742,1459.95
4.36,12.73,1.745,1459.95
4.36,12.73,1.743,1459.95
4.46,12.73,1.741,1459.95
4.56,12.729,1.742,1459.95
4.66,12.728,1.749,1459.95
4.76,12.727,1.751,1459.95
4.76,12.727,1.747,1459.95
4.86,12.725,1.747,1459.94
4.96,12.724,1.748,1459.94
4.96,12.723,1.751,1459.94
5.06,12.722,1.761,1459.95
5.16,12.722,1.772,1459.96
5.26,12.72,1.778,1459.97
5.36,12.717,1.778,1459.96
5.46,12.714,1.782,1459.95
5.46,12.709,1.79,1459.94
5.55,12.706,1.794,1459.94
5.65,12.702,1.804,1459.94
5.75,12.698,1.809,1459.93
5.75,12.694,1.808,1459.92
5.85,12.688,1.816,1459.9
5.95,12.683,1.817,1459.89
6.05,12.678,1.815,1459.87
6.15,12.674,1.818,1459.86
6.15,12.668,1.818,1459.84
6.25,12.665,1.82,1459.83
6.35,12.661,1.817,1459.81
6.45,12.659,1.818,1459.81
6.55,12.656,1.817,1459.8
6.55,12.653,1.817,1459.79
6.65,12.652,1.818,1459.79
6.74,12.65,1.82,1459.78
6.84,12.648,1.818,1459.78
6.94,12.647,1.821,1459.78
6.94,12.645,1.824,1459.77
7.04,12.644,1.823,1459.77
7.14,12.643,1.827,1459.77
7.24,12.641,1.827,1459.77
7.34,12.638,1.831,1459.76
7.34,12.638,1.834,1459.77
7.44,12.637,1.836,1459.77
7.54,12.635,1.839,1459.76
7.64,12.634,1.839,1459.76
7.74,12.633,1.841,1459.76
7.74,12.631,1.842,1459.76
7.84,12.63,1.841,1459.75
7.93,12.628,1.842,1459.75
8.03,12.628,1.841,1459.75
8.13,12.626,1.84,1459.74
8.23,12.626,1.841,1459.74
8.23,12.624,1.843,1459.74
8.33,12.624,1.842,1459.74
8.43,12.623,1.844,1459.74
8.53,12.623,1.847,1459.75
8.63,12.623,1.847,1459.75
8.73,12.621,1.846,1459.74
8.73,12.62,1.849,1459.74
8.83,12.621,1.849,1459.75
8.93,12.62,1.849,1459.74
9.03,12.619,1.85,1459.74
9.13,12.619,1.852,1459.75
9.22,12.618,1.851,1459.74
9.22,12.618,1.859,1459.75
9.32,12.617,1.866,1459.76
9.42,12.617,1.866,1459.76
9.52,12.616,1.87,1459.76
9.62,12.615,1.868,1459.76
9.72,12.614,1.868,1459.76
9.82,12.613,1.871,1459.76
9.92,12.614,1.872,1459.77
9.92,12.612,1.878,1459.76
10.02,12.611,1.89,1459.78
10.12,12.611,1.9,1459.79
10.22,12.61,1.903,1459.79
10.32,12.608,1.906,1459.79
10.32,12.608,1.915,1459.8
10.41,12.606,1.921,1459.8
10.51,12.604,1.932,1459.81
10.61,12.604,1.937,1459.82
10.71,12.601,1.936,1459.81
10.81,12.6,1.936,1459.8
10.91,12.6,1.94,1459.81
11.01,12.597,1.969,1459.84
11.01,12.596,1.983,1459.85
11.11,12.595,1.996,1459.86
11.21,12.592,2.001,1459.86
11.31,12.59,2.004,1459.86
11.41,12.587,2.04,1459.89
11.51,12.584,2.081,1459.93
11.51,12.581,2.113,1459.96
11.6,12.577,2.17,1460.02
11.7,12.573,2.178,1460.01
11.8,12.567,2.245,1460.07
11.9,12.56,2.263,1460.07
12.0,12.555,2.29,1460.09
12.1,12.548,2.322,1460.1
12.1,12.541,2.348,1460.11
12.2,12.534,2.373,1460.11
12.3,12.529,2.478,1460.22
12.4,12.522,2.521,1460.25
12.5,12.513,2.539,1460.24
12.6,12.506,2.555,1460.23
12.7,12.496,2.561,1460.21
12.7,12.487,2.566,1460.18
12.79,12.482,2.571,1460.17
12.89,12.474,2.581,1460.15
12.99,12.468,2.585,1460.14
13.09,12.463,2.588,1460.12
13.19,12.457,2.587,1460.1
13.19,12.452,2.584,1460.08
13.29,12.449,2.583,1460.07
13.39,12.446,2.587,1460.06
13.49,12.443,2.586,1460.05
13.59,12.44,2.599,1460.06
13.69,12.437,2.595,1460.04
13.79,12.435,2.587,1460.03
13.79,12.433,2.585,1460.02
13.89,12.429,2.589,1460.01
13.99,12.429,2.603,1460.03
14.08,12.428,2.603,1460.03
14.18,12.425,2.601,1460.01
14.18,12.426,2.601,1460.02
14.38,12.424,2.602,1460.01
14.48,12.421,2.606,1460.01
14.48,12.421,2.612,1460.02
14.58,12.42,2.611,1460.01
14.68,12.418,2.616,1460.01
14.78,12.418,2.625,1460.03
14.88,12.417,2.64,1460.04
14.98,12.415,2.658,1460.06
14.98,12.413,2.663,1460.06
15.08,12.411,2.672,1460.06
15.18,12.41,2.678,1460.07
15.27,12.409,2.679,1460.07
15.37,12.407,2.702,1460.09
15.47,12.405,2.712,1460.1
15.57,12.403,2.709,1460.09
15.57,12.403,2.729,1460.11
15.67,12.4,2.754,1460.13
15.77,12.398,2.77,1460.14
15.87,12.396,2.78,1460.15
15.97,12.394,2.796,1460.16
16.07,12.391,2.814,1460.18
16.17,12.388,2.854,1460.21
16.27,12.386,2.858,1460.21
16.27,12.383,2.893,1460.25
16.37,12.379,2.912,1460.25
16.46,12.375,2.919,1460.25
16.56,12.37,2.939,1460.26
16.66,12.366,2.989,1460.3
16.76,12.361,3.03,1460.34
16.86,12.355,3.153,1460.46
16.86,12.349,3.158,1460.45
16.96,12.34,3.217,1460.49
17.06,12.329,3.251,1460.49
17.16,12.32,3.255,1460.46
17.26,12.307,3.268,1460.43
17.36,12.297,3.279,1460.41
17.46,12.288,3.283,1460.38
17.56,12.277,3.284,1460.34
17.56,12.269,3.285,1460.32
17.65,12.262,3.288,1460.29
17.75,12.256,3.289,1460.28
17.85,12.248,3.292,1460.25
17.95,12.243,3.291,1460.23
18.05,12.238,3.294,1460.22
18.05,12.233,3.295,1460.2
18.15,12.231,3.301,1460.2
18.25,12.226,3.294,1460.18
18.35,12.222,3.293,1460.16
18.15,12.219,3.296,1460.15
17.95,12.216,3.293,1460.13
17.75,12.214,3.289,1460.12
17.56,12.213,3.288,1460.11
17.46,12.211,3.279,1460.09
17.46,12.211,3.283,1460.1
17.46,12.21,3.287,1460.1
17.46,12.209,3.288,1460.09
17.46,12.209,3.288,1460.09
17.56,12.208,3.286,1460.09
17.56,12.208,3.285,1460.09
17.56,12.207,3.267,1460.06
17.46,12.207,3.222,1460.01
17.36,12.207,3.225,1460.01
17.36,12.209,3.253,1460.05
17.16,12.211,3.278,1460.08
17.06,12.212,3.278,1460.09
17.06,12.212,3.252,1460.06
16.96,12.21,3.243,1460.04
16.86,12.21,3.141,1459.91
16.76,12.211,3.034,1459.78
16.76,12.214,2.967,1459.71
16.56,12.222,2.959,1459.73
16.56,12.23,2.946,1459.74
16.46,12.24,2.927,1459.76
16.37,12.249,2.9,1459.76
16.27,12.257,2.88,1459.76
16.17,12.266,2.833,1459.74
16.07,12.275,2.807,1459.74
15.97,12.283,2.784,1459.74
15.97,12.292,2.773,1459.76
15.87,12.299,2.765,1459.77
15.77,12.307,2.75,1459.78
15.67,12.313,2.742,1459.79
15.57,12.32,2.735,1459.81
15.47,12.326,2.719,1459.81
15.47,12.331,2.713,1459.82
15.27,12.337,2.706,1459.83
15.27,12.341,2.684,1459.82
15.18,12.346,2.657,1459.8
15.08,12.351,2.622,1459.78
